StarbucksId,lat,lng,postalCode,address,MrtId,checkinsCount,NewCheckin,IncreaseCheckins,rental,24hrs,inside mall or not,MinBusDis,NumOfBusStop100,NumOfBusStop200,NumOfBusStop300,NumOfBusStop400,NumOfBusStop500,NumOfBusLine100,NumOfBusLine200,NumOfBusLine300,NumOfBusLine400,NumOfBusLine500,MinMrtDis,NumOfMrt100,NumOfMrt200,NumOfMrt300,NumOfMrt400,NumOfMrt500,MinMcDis,NumOfMc100,NumOfMC200,NumOfMc300,NumOfMc400,NumOfMc500,MinCoffeeBean,NumOfCoffeeBean100,NumOfCoffeeBean200,NumOfCoffeeBean300,NumOfCoffeeBean400,NumOfCoffeeBean500,MinSchoolDis,NumOfSchool100,NumOfSchool200,NumOfSchool300,NumOfSchool400,NumOfSchool500,NumOfJC100,NumOfJC200,NumOfJC300,NumOfJC400,NumOfJC500,NumOfPri100,NumOfPri200,NumOfPri300,NumOfPri400,NumOfPri500,NumOfSec100,NumOfSec200,NumOfSec300,NumOfSec400,NumOfSec500,NumOfMix100,NumOfMix200,NumOfMix300,NumOfMix400,NumOfMix500,MinTourDis,NumOfTour100,NumOfTour200,NumOfTour300,NumOfTour400,NumOfTour500,NumOfArchTour100,NumOfArchTour200,NumOfArchTour300,NumOfArchTour400,NumOfArchTour500,NumOfArtsTour100,NumOfArtsTour200,NumOfArtsTour300,NumOfArtsTour400,NumOfArtsTour500,NumOfCulTour100,NumOfCulTour200,NumOfCulTour300,NumOfCulTour400,NumOfCulTour500,NumOfHisTour100,NumOfHisTour200,NumOfHisTour300,NumOfHisTour400,NumOfHisTour500,NumOfNatTour100,NumOfNatTour200,NumOfNatTour300,NumOfNatTour400,NumOfNatTour500,NumOfPlaTour100,NumOfPlaTour200,NumOfPlaTour300,NumOfPlaTour400,NumOfPlaTour500,NumOfRecTour100,NumOfRecTour200,NumOfRecTour300,NumOfRecTour400,NumOfRecTour500
558d39ce498ef11601ce000f,1.37965355,103.7642156,677743,#02-09/09A Bukit Panjang Plaza (1 Jelebu Road),bukit panjang,453,472,19,8244.39,0,1,0.034255084,3,6,16,20,25,22,46,103,129,159,0.18328748,0,1,1,1,1,0.034999107,1,1,1,1,1,2.378146573,0,0,0,0,0,0.565383096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08233368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55d6fb7a498e5ac926a6782e,1.334382507,103.7445496,,Ng Teng Fong General Hospital (Jurong East St 21),JURONG EAST MRT        ,70,70,0,20491.68,0,0,0.241968346,0,0,3,8,10,0,0,11,51,63,0.327382915,0,0,0,1,1,0.176566649,0,1,1,1,1,0.176848664,0,1,2,2,2,0.870353971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977706497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55d8399f498e003c1f82126a,1.334349115,103.744459,609606,"#02-08, Ng Teng Fong General Hospital (1 Jurong East Street 21)",JURONG EAST MRT        ,298,306,8,20491.68,0,0,0.244976147,0,0,3,8,10,0,0,11,51,63,0.317521034,0,0,0,1,1,0.167966086,0,1,1,1,1,0.16824052,0,1,2,2,2,0.86670208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967166726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562732c8498e4eae1d98fd48,1.304921785,103.8313936,,"#B1-01, Wheelock Place (501 Orchard Road)",ORCHARD MRT            ,245,253,8,9338.59,0,1,0.152895342,0,2,6,11,13,0,32,86,151,180,0.115177938,0,1,1,1,1,0.065937341,1,1,2,3,3,0.129377527,0,1,1,2,2,0.802355495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140679035,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
5629c3b3498ed8212ba6129e,1.288430671,103.8056051,,"#01-05/06, Anchorpoint (370 Alexandra Road)",QUEENSTOWN MRT         ,317,342,25,9338.59,0,1,0.024948222,2,3,4,10,15,7,17,27,66,91,0.648089114,0,0,0,0,0,1.706843775,0,0,0,0,0,1.672454811,0,0,0,0,0,0.879929504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77044119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56349a98498e5885a2f2930f,1.288637575,103.8055485,159953,"Anchorpoint Shopping Centre, 370 Alexandra Road, #01-05/06",QUEENSTOWN MRT         ,13,13,0,9338.59,0,1,0.01511026,2,2,3,10,15,7,7,17,66,91,0.626396817,0,0,0,0,0,1.727275944,0,0,0,0,0,1.692856431,0,0,0,0,0,0.85978448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78963756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563c8edacd1044ad65f80a6b,1.372543037,103.9495706,518457,"White Sands, 1 Pasir Ris Central Street 3",PASIR RIS MRT          ,436,466,30,10509.46,0,1,0.12215856,0,5,10,13,19,0,32,44,58,83,0.075290561,1,1,1,1,1,2.262470114,0,0,0,0,0,0.817651874,0,0,0,0,0,0.498958543,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.953087126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56419d9e498e16aeb40ed7ab,1.301607,103.839049,,227 Orchard Road #B2-04,SOMERSET MRT           ,3,3,0,9338.59,0,1,0.058711343,1,2,5,7,7,19,49,98,146,146,0.189378614,0,1,1,1,1,0.663762923,0,0,0,0,0,0.094682332,1,2,2,2,3,0.819317598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787812141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564db6fc498eb10280581211,1.288745765,103.8124706,,Anchorpoint,REDHILL MRT            ,13,14,1,9338.59,0,1,0.038028611,2,5,12,15,24,2,6,14,36,102,0.493083556,0,0,0,0,1,2.080581549,0,0,0,0,0,1.445532099,0,0,0,0,0,0.367824088,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.072580615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56666dca498ea2e5f1ab0c91,1.283467483,103.8486321,48770,#01-01 Far East Square (40 Pekin Street),telok ayer,170,185,15,9338.59,0,1,0.125111402,0,3,6,8,14,0,9,30,42,121,0.160697731,0,1,1,2,2,1.793780062,0,0,0,0,0,0.453496799,0,0,0,0,1,1.297025709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066373747,1,1,1,6,8,0,0,0,2,2,0,0,0,0,0,1,1,1,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567e19e8498eb543308bedca,1.28410967,103.8514629,48618,5 Raffles Place #B1-55/56 Raffles Xchange Raffles Place MRT Station,RAFFLES PL. MRT        ,22,22,0,9338.59,0,1,0.183509963,0,1,5,9,10,0,18,58,90,116,0.072507303,1,1,1,1,2,1.475767051,0,0,0,0,0,0.466075284,0,0,0,0,1,1.585871301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317150696,0,0,0,4,7,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56944850498e22da7cc4fd42,1.355777,103.989915,819643,Terminal 2 (#026-095-06),SIMEI MRT              ,138,156,18,10509.46,1,1,0.108454714,0,1,2,2,2,0,6,12,12,12,4.306854823,0,0,0,0,0,0.182566882,0,1,1,2,2,0.481463682,0,0,0,0,1,3.13581133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.903966621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56dcc13d498ebff00d81b5e4,1.319607,103.902886,,Raffles Xchange,EUNOS MRT              ,2,2,0,5665.25,0,1,0.116364544,0,2,4,6,10,0,29,63,78,115,0.046938761,1,1,1,1,1,1.851385887,0,0,0,0,0,0.897459754,0,0,0,0,0,0.552572033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128292678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5700aa67498ec39d12726d7d,1.304328608,103.8319993,,Basement 1 (Wheelock Place),ORCHARD MRT            ,2,2,0,9338.59,0,1,0.106117113,0,2,5,11,13,0,35,80,161,180,0.034938241,1,1,1,1,1,0.137248483,0,2,2,2,3,0.048648642,1,1,1,1,3,0.888031579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054717882,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
570cdedd498e24ad4473d768,1.284589,103.851933,48618,5 Raffles Place #B1-55/56 Raffles Place MRT Station,RAFFLES PL. MRT        ,2,2,0,9338.59,0,1,0.136117406,0,2,2,7,11,0,37,37,68,122,0.07128939,1,1,1,1,2,1.422604833,0,0,0,0,0,0.491547087,0,0,0,0,1,1.659631801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277031831,0,0,1,5,8,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5711f6d0498e2ae0c54fe4c6,1.293749,103.847257,189554,51 Bras Basah Road #01-02B Manulife Centre,DHOBY GHAUT MRT        ,1,1,0,9338.59,0,0,0.276749045,0,0,1,10,22,0,0,9,97,226,0.51313358,0,0,0,0,0,1.324938006,0,0,0,0,0,0.96652477,0,0,0,0,0,1.199456972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183914835,0,2,5,6,7,0,0,0,0,1,0,0,1,1,1,0,0,2,2,2,0,1,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
57172d98498ec5d674b130f0,1.272744004,103.8445785,79120,78 Shenton Way,TJG. PAGAR MRT         ,17,22,5,9338.59,0,0,0.141709622,0,2,6,11,15,0,22,66,100,125,0.491276754,0,0,0,0,1,2.597846536,0,0,0,0,0,0.402959626,0,0,0,0,1,0.601107573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465317007,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57f31e17498e94f8db1a0fa8,1.286113,103.859887,,The Shoppes at Marina Bay,bayfront,4,18,14,9338.59,0,1,0.147199438,0,1,1,3,5,0,6,6,43,68,0.546448991,0,0,0,0,0,0.564924598,0,0,0,0,0,0.267007522,0,0,1,1,1,2.007670884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067852455,1,1,2,4,4,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
57f8c5e9498e1f78db8b3a73,1.286074,103.860296,18972,"2 Bayfront Avenue, The Shoppes at Marina Bay Sands (B2-56)",bayfront,6,25,19,9338.59,0,1,0.123955649,0,1,1,2,5,0,6,6,14,68,0.552694225,0,0,0,0,0,0.520369253,0,0,0,0,0,0.286034066,0,0,1,1,1,2.019506199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113346968,0,1,4,4,5,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
