SiteId,Latitude,Longitude,MinBusDis,NumOfBusStop100,NumOfBusStop200,NumOfBusStop300,NumOfBusStop400,NumOfBusStop500,NumOfBusLine100,NumOfBusLine200,NumOfBusLine300,NumOfBusLine400,NumOfBusLine500,MinCoffeebeanDis,NumOfCoffeeBean100,NumOfCoffeeBean200,NumOfCoffeeBean300,NumOfCoffeeBean400,NumOfCoffeeBean500,MinMcDis,NumOfMc100,NumOfMC200,NumOfMc300,NumOfMc400,NumOfMc500,MinMrtDis,NumOfMrt100,NumOfMrt200,NumOfMrt300,NumOfMrt400,NumOfMrt500,MinSchoolDis,NumOfSchool100,NumOfSchool200,NumOfSchool300,NumOfSchool400,NumOfSchool500,NumOfJC100,NumOfJC200,NumOfJC300,NumOfJC400,NumOfJC500,NumOfPri100,NumOfPri200,NumOfPri300,NumOfPri400,NumOfPri500,NumOfSec100,NumOfSec200,NumOfSec300,NumOfSec400,NumOfSec500,NumOfMix100,NumOfMix200,NumOfMix300,NumOfMix400,NumOfMix500,MinTourDis,NumOfTour100,NumOfTour200,NumOfTour300,NumOfTour400,NumOfTour500,NumOfArchTour100,NumOfArchTour200,NumOfArchTour300,NumOfArchTour400,NumOfArchTour500,NumOfArtsTour100,NumOfArtsTour200,NumOfArtsTour300,NumOfArtsTour400,NumOfArtsTour500,NumOfCulTour100,NumOfCulTour200,NumOfCulTour300,NumOfCulTour400,NumOfCulTour500,NumOfHisTour100,NumOfHisTour200,NumOfHisTour300,NumOfHisTour400,NumOfHisTour500,NumOfNatTour100,NumOfNatTour200,NumOfNatTour300,NumOfNatTour400,NumOfNatTour500,NumOfPlaTour100,NumOfPlaTour200,NumOfPlaTour300,NumOfPlaTour400,NumOfPlaTour500,NumOfRecTour100,NumOfRecTour200,NumOfRecTour300,NumOfRecTour400,NumOfRecTour500
11,1.367436163,103.7996372,2.674804998,0,0,0,0,0,0,0,0,0,0,3.692631361,0,0,0,0,0,4.183218294,0,0,0,0,0,3.623738205,0,0,0,0,0,3.203239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.561453479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.376790041,103.8171441,1.126673232,0,0,0,0,0,0,0,0,0,0,3.550409911,0,0,0,0,0,3.104197035,0,0,0,0,0,3.121632333,0,0,0,0,0,1.848422098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599106725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.311986208,103.8431361,0.081990151,1,2,3,5,8,5,11,16,29,47,1.050616933,0,0,0,0,0,0.637789238,0,0,0,0,0,0.597105051,0,0,0,0,0,0.343140486,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91202007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.329268378,103.7882397,0.490706597,0,0,0,0,1,0,0,0,0,15,0.841421065,0,0,0,0,0,2.370319543,0,0,0,0,0,0.847236912,0,0,0,0,0,0.766197104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.350470233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.370072516,103.8255148,0.352090078,0,0,0,1,2,0,0,0,5,10,2.51582705,0,0,0,0,0,2.151589923,0,0,0,0,0,2.501204502,0,0,0,0,0,0.655849836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.827422946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.307897319,103.7908447,0.158441207,0,4,11,13,16,0,50,94,102,117,0.599730567,0,0,0,0,0,0.142827872,0,1,1,1,1,0.093212864,1,1,1,1,1,0.804457217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.130295419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.35019626,103.815646,1.304311256,0,0,0,0,0,0,0,0,0,0,3.104135078,0,0,0,0,0,3.101163121,0,0,0,0,0,2.658618479,0,0,0,0,0,2.202132694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953444251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.371982253,103.81366,1.64253913,0,0,0,0,0,0,0,0,0,0,3.845066529,0,0,0,0,0,3.453748067,0,0,0,0,0,3.625020345,0,0,0,0,0,1.919307237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.168456943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.299768684,103.8544244,0.080469588,2,4,12,20,28,16,19,69,124,187,0.023251288,1,1,1,1,1,0.658493944,0,0,0,0,0,0.167204776,0,1,1,1,2,0.40700306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146494781,0,1,2,3,10,0,0,0,0,4,0,1,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
20,1.338752019,103.850072,0.179754758,0,3,7,16,17,0,15,31,71,72,0.742505117,0,0,0,0,0,0.714233712,0,0,0,0,0,0.439757495,0,0,0,0,1,0.264691464,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251194146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.34691798,103.818933,0.802223925,0,0,0,0,0,0,0,0,0,0,3.153212291,0,0,0,0,0,2.789769142,0,0,0,0,0,2.302521592,0,0,0,0,0,2.13674354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444051962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,1.364136366,103.7973823,2.436486934,0,0,0,0,0,0,0,0,0,0,3.365055826,0,0,0,0,0,4.091626757,0,0,0,0,0,3.33580743,0,0,0,0,0,2.992409307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.435189593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.322531188,103.8094175,0.189022918,0,1,3,7,9,0,14,41,79,106,1.776475043,0,0,0,0,0,0.480837967,0,0,0,0,1,0.364185363,0,0,0,1,1,0.196386288,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.206446639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.365511595,103.7970579,2.389022439,0,0,0,0,0,0,0,0,0,0,3.361554768,0,0,0,0,0,3.995182535,0,0,0,0,0,3.311955929,0,0,0,0,0,2.934668505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.463832394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.313151303,103.8068573,0.275972795,0,0,2,7,8,0,0,20,60,70,1.321575242,0,0,0,0,0,1.279310842,0,0,0,0,0,0.464596189,0,0,0,0,1,0.820926816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009702705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.371585443,103.8131809,1.697638297,0,0,0,0,0,0,0,0,0,0,3.894647621,0,0,0,0,0,3.507903456,0,0,0,0,0,3.689070209,0,0,0,0,0,1.955358626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.143317773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.351542434,103.8451502,0.285242686,0,0,1,5,6,0,0,10,29,36,0.409139865,0,0,0,0,1,1.051952903,0,0,0,0,0,0.344589708,0,0,0,1,1,0.423237119,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.630725851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.354072863,103.8361283,0.068386506,1,3,8,9,12,1,4,39,40,67,1.450154477,0,0,0,0,0,1.375515363,0,0,0,0,0,0.674157057,0,0,0,0,0,0.806136789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84408267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.314784043,103.8326972,0.259802029,0,0,1,4,7,0,0,4,28,52,1.041790979,0,0,0,0,0,1.041310498,0,0,0,0,0,0.61705596,0,0,0,0,0,0.528815808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167111654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.336400165,103.824215,0.472214568,0,0,0,0,1,0,0,0,0,7,2.504109307,0,0,0,0,0,1.9465655,0,0,0,0,0,1.699801512,0,0,0,0,0,1.73650749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961516051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.354543063,103.8333058,0.092563794,1,2,4,7,9,11,22,44,48,60,1.766149029,0,0,0,0,0,1.622581985,0,0,0,0,0,0.922839009,0,0,0,0,0,0.657429892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.627180356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.331138672,103.7985514,0.076387872,1,2,3,5,5,14,27,40,58,58,0.323709645,0,0,0,1,1,1.949638804,0,0,0,0,0,0.171735515,0,1,1,1,1,0.411956752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.724941315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.350107561,103.8042692,2.147361974,0,0,0,0,0,0,0,0,0,0,2.361565938,0,0,0,0,0,3.258805591,0,0,0,0,0,2.249314221,0,0,0,0,0,2.140654954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.093022905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.372759344,103.8443352,0.108317541,0,2,3,6,12,0,19,28,57,107,0.591916248,0,0,0,0,0,0.056897722,1,1,1,1,1,0.66080313,0,0,0,0,0,0.459401965,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62600787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.304862839,103.7889289,0.138890959,0,1,3,6,9,0,9,27,46,79,0.983543186,0,0,0,0,0,0.307863837,0,0,0,1,1,0.307053458,0,0,0,1,1,0.443834998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837974063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.363653076,103.8210785,0.752782514,0,0,0,0,0,0,0,0,0,0,3.064841107,0,0,0,0,0,2.804010204,0,0,0,0,0,2.61602924,0,0,0,0,0,1.01889247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.096325539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.329853875,103.8426346,0.131767769,0,2,3,9,15,0,31,41,93,140,0.634200967,0,0,0,0,0,0.719315725,0,0,0,0,0,0.616018908,0,0,0,0,0,0.242708968,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521307571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.308214021,103.8467808,0.081690522,1,3,4,6,9,6,17,22,48,59,1.040447914,0,0,0,0,0,1.117548909,0,0,0,0,0,0.384391183,0,0,0,1,1,0.431761997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355132,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
39,1.309482098,103.8202285,0.302683187,0,0,0,2,4,0,0,0,17,31,0.998148502,0,0,0,0,0,0.998148502,0,0,0,0,0,1.327727545,0,0,0,0,0,1.00354246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681802336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.317667494,103.7897528,0.181519785,0,2,6,9,11,0,9,22,37,47,0.938481347,0,0,0,0,0,1.23577579,0,0,0,0,0,1.019151204,0,0,0,0,0,0.631086394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.592736623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.382109015,103.7912629,1.905865122,0,0,0,0,0,0,0,0,0,0,3.71048684,0,0,0,0,0,3.023060338,0,0,0,0,0,3.106733668,0,0,0,0,0,1.937226795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.260764304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.349575328,103.8580184,0.344864045,0,0,0,2,7,0,0,0,6,21,0.475653818,0,0,0,0,1,1.491676939,0,0,0,0,0,0.593465572,0,0,0,0,0,0.362272233,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.570844675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
